PRIMARY_NAICS_CODE,PRIMARY_NAICS_TITLE,GWht_TOTAL,Indirect Uses-Boiler Fuel,Conventional Boiler Use,CHP and/or Cogeneration Process,Direct Uses-Total Process,Process Heating,Process Cooling and Refrigeration,Machine Drive,Electro-Chemical Processes,Other Process Use,Direct Uses-Total Nonprocess,Facility HVAC (g),Facility Lighting,Other Facility Support,Onsite Transportation,Conventional Electricity Generation,Other Nonprocess Use
311911,Roasted Nuts and Peanut Butter Manufacturing,144.2329029,84.21991181,41.35348963,42.86642218,47.40521982,44.1271993,0.504310849,1.008621698,0,1.765087972,12.60777123,8.321129011,0,4.034486793,0,0,0.252155425
311919,Other Snack Food Manufacturing,1385.947068,846.0917355,379.7374904,466.3542451,428.3399339,398.8722005,4.437901171,8.86100877,0,16.16882349,111.5153985,73.10332235,0,35.44403508,0.082277243,0.661001454,2.224762345
311920,Coffee and Tea Manufacturing,654.0617812,382.3426099,177.3848335,204.9577764,208.7251764,190.4467386,4.297178308,4.304036076,0,9.677223403,62.99399497,35.50829763,0,17.2161443,4.596772008,1.838708803,3.834072224
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",136.9630135,79.97490651,39.26911577,40.70579074,45.01581564,41.90301988,0.478891656,0.957783311,0,1.676120795,11.97229139,7.901712319,0,3.831133246,0,0,0.239445828
311942,Spice and Extract Manufacturing,2730.558311,1905.655654,633.9365604,1271.719094,667.9075123,622.9571589,6.110236935,12.08779403,0,26.75232242,156.9140823,99.72430074,0,48.35117612,0.142156972,5.589205742,3.107242691
311991,Perishable Prepared Food Manufacturing,195.1177094,113.9323688,55.94283975,57.98952901,64.12959678,59.69510339,0.682229753,1.364459506,0,2.387804136,17.05574383,11.25679092,0,5.457838024,0,0,0.341114877
311999,All Other Miscellaneous Food Manufacturing,1676.00032,1034.899972,510.9742118,523.92576,509.2931852,474.8511183,5.433809972,10.47753197,0,18.53072493,131.8071632,86.43963872,0,41.91012786,0.420062243,0.167180562,2.870153835
312120,Breweries,4121.379893,2589.324092,631.8404856,1957.483606,1275.601274,1275.601274,0,0,0,0,237.211449,236.9401821,0,0,0.271266905,0,0
312130,Wineries,175.2382573,122.0991471,38.64662556,83.45252159,38.64662556,38.64662556,0,0,0,0,14.49248459,14.49248459,0,0,0,0,0
312140,Distilleries,2509.535232,1458.423501,503.9120853,954.5114159,684.784455,684.784455,0,0,0,0,342.8019309,188.967032,0,0,153.834899,0,0
312221,Cigarette Manufacturing,249.7191084,249.417161,98.64866196,150.7684991,0,0,0,0,0,0,0,0,0,0,0,0,0
312229,Other Tobacco Product Manufacturing,570.5618782,560.2243582,193.6119849,366.6123733,0,0,0,0,0,0,0,0,0,0,0,0,0
313210,Broadwoven Fabric Mills,731.1355476,563.5199484,364.8087305,198.7112179,149.4129351,149.4129351,0,0,0,0,18.20266404,18.20266404,0,0,0,0,0
313230,Nonwoven Fabric Mills,510.7341023,294.4067668,138.5443608,155.8624059,181.6912453,173.180451,0,8.510794291,0,0,34.63609021,34.63609021,0,0,0,0,0
313311,Broadwoven Fabric Finishing Mills,1025.291932,757.3527207,472.7131816,284.6395391,230.9815651,230.9815651,0,0,0,0,31.44974026,31.44974026,0,0,0,0,0
313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills,407.3606771,251.1393718,127.8852968,123.2540751,130.2092938,128.0877372,0,2.121556599,0,0,23.39286273,23.39286273,0,0,0,0,0
314110,Carpet and Rug Mills,1069.550459,423.9120956,211.9560478,211.9560478,317.9340717,317.9340717,0,0,0,0,105.9780239,105.9780239,0,0,0,0,0
321113,Sawmills,4137.756248,4011.162299,0,4011.162299,126.5939486,126.5939486,0,0,0,0,0,0,0,0,0,0,0
321211,Hardwood Veneer and Plywood Manufacturing,76.32505399,76.32505399,0,76.32505399,0,0,0,0,0,0,0,0,0,0,0,0,0
321212,Softwood Veneer and Plywood Manufacturing,0.069594747,0.014651526,0.003662881,0.010988644,0.05128034,0.047617458,0,0.003662881,0,0,0.003662881,0.003662881,0,0,0,0,0
321219,Reconstituted Wood Product Manufacturing,5333.039733,3173.719892,128.5783292,3045.141563,1800.096608,1671.518279,0,128.5783292,0,0,128.5957645,128.5783292,0,0,0.01743528,0,0
322110,Pulp Mills,41994.61893,30575.7963,607.6512787,29968.14502,4936.233728,4936.233728,0,0,0,0,0,0,0,0,0,0,0
322121,Paper (except Newsprint) Mills,115804.1241,98225.61485,6953.974969,91271.63988,16560.04527,14834.31136,0,1256.318282,0,469.4156257,953.9652132,753.7909693,0,0,121.4810374,78.69320651,0
322122,Newsprint Mills,5015.926481,4519.335323,260.0831766,4259.252146,489.9576942,489.9576942,0,0,0,0,0,0,0,0,0,0,0
322130,Paperboard Mills,89653.92354,80308.35848,3422.765216,76885.59326,8441.416973,7363.46961,0,862.3578902,0,215.5894726,903.8110615,431.1789451,0,0,41.45317126,431.1789451,0
322213,Setup Paperboard Box Manufacturing,676.237239,417.2157773,86.9199536,330.2958237,229.4686775,208.6078886,0,17.38399072,0,3.476798144,29.55278422,24.33758701,0,1.738399072,0,3.476798144,0
322222,Coated and Laminated Paper Manufacturing,437.0440105,269.6351868,56.17155367,213.4636331,148.2987663,134.8175934,0,11.23431073,0,2.246862147,19.11005744,15.72803503,0,1.123431073,0.011729189,2.246862147,0
322291,Sanitary Paper Product Manufacturing,1858.571132,1395.585556,152.043024,1243.542532,404.6927048,368.2023791,0,30.4086048,0,6.081720959,58.29287123,42.57204672,0,3.04086048,6.598243072,6.081720959,0
322299,All Other Converted Paper Product Manufacturing,136.8008135,85.86783885,19.08831554,66.77952332,45.27573476,41.70836718,0,2.972806319,0,0.594561264,5.657239877,4.161928847,0,0.297280632,0,1.198030398,0
323111,Commercial Printing (except Screen and Books) ,379.391443,91.72085468,34.3953205,57.32553417,183.4417094,137.581282,34.3953205,11.46510683,0,0,103.1859615,103.1859615,0,0,0,0,0
324110,Petroleum Refineries,623903.5174,485841.6755,414164.5991,71677.07641,132288.4106,113433.1775,1763.459478,10310.25842,0,6676.843227,4870.483797,727.3824627,209.3439553,52.33598881,283.9805232,3492.76889,52.33598881
324121,Asphalt Paving Mixture and Block Manufacturing,946.3543533,368.8617969,295.1975783,73.6642186,555.6652428,516.7335358,0,35.98753509,0,2.464624706,21.8273136,18.13037655,0,0,3.696937059,0,0
324191,Petroleum Lubricating Oil and Grease Manufacturing,609.2865405,205.6255822,70.38191068,135.2436715,390.5506024,356.0496658,4.140112393,11.04029971,0,19.3205245,13.11035591,2.070056196,0,0.690018732,0,10.35028098,0
324199,All Other Petroleum and Coal Products Manufacturing,16082.11831,12070.45973,10430.28947,1640.170263,3949.330072,3187.753458,0,-82.61354804,0,761.5766139,0,0,0,0,0,0,0
325110,Petrochemical Manufacturing,80577.93641,47207.33454,2480.766975,44726.56756,33085.85915,25076.6439,767.9549821,7189.879353,122.7624504,174.1433604,235.5245856,61.38122519,0,0,0,0,174.1433604
325120,Industrial Gas Manufacturing,18379.17137,5968.391957,795.7855943,5172.606363,4376.820768,1193.678391,0,0,0,3183.142377,0,0,0,0,0,0,0
325131,Inorganic Dye and Pigment Manufacturing,4623.325446,2890.432396,749.504441,2140.927955,1659.150873,1382.671142,19.81261355,150.7683329,1.177247989,104.6863948,73.74217712,55.51350023,0.316275579,8.645515913,2.756392171,2.13502268,4.287616225
325132,Synthetic Organic Dye and Pigment Manufacturing,184.798355,103.7154813,31.35342877,72.36205249,77.86447542,64.78324355,0.934373705,7.059712438,0,5.087145728,3.218398317,2.491663213,0,0.415277202,0,0.103819301,0.207638601
325181,Alkalies and Chlorine Manufacturing,71664.81132,40049.92694,2985.635056,37064.29188,31609.63319,10092.4702,0,21517.16299,0,0,0,0,0,0,0,0,0
325182,Carbon Black Manufacturing,991.2622779,0,0,0,991.2622779,793.0098224,0,198.2524556,0,0,0,0,0,0,0,0,0
325188,All Other Basic Inorganic Chemical Manufacturing,14692.92413,6194.167594,2167.35308,4026.814514,8177.373023,7930.059187,3.170690198,183.9000315,53.90173336,0,285.4766287,275.9645581,3.170690198,0,0,0,0
325191,Gum and Wood Chemical Manufacturing,882.7773232,493.9411478,149.6281346,344.3130132,371.2157433,308.3332761,4.435857994,34.29582673,0,24.15078241,17.62043209,11.82895465,0,1.971492442,2.341365668,0.49287311,0.985746221
325192,Cyclic Crude and Intermediate Manufacturing,8211.397187,4906.794769,3030.750887,1876.043882,3180.067028,3118.583911,17.56660482,43.91651204,0,0,8.783302408,8.783302408,0,0,0,0,0
325193,Ethyl Alcohol Manufacturing,98748.95788,58407.90559,28616.23409,29791.6715,39171.88601,35705.93161,2.024977378,18.2247964,0,3443.679648,1149.918194,766.2746328,1.012488689,382.631072,0,0,0
325199,All Other Basic Organic Chemical Manufacturing,123348.0758,87775.68457,14036.26926,73739.41531,33676.3168,24342.76385,1291.664452,2855.163168,-291.901789,5361.866407,1687.556012,954.1532497,116.7607156,337.5112025,0,279.1308447,0
325211,Plastics Material and Resin Manufacturing,78984.56431,63532.6354,17800.53179,45732.10361,14423.29882,11125.51282,327.3286558,1773.599197,263.8710764,903.6680669,776.752908,449.4242522,58.63801698,210.0526219,0,0,0
325212,Synthetic Rubber Manufacturing,5902.439177,5432.235196,1675.483106,3756.75209,405.7858778,101.4464694,0,101.4464694,0,202.8929389,0,0,0,0,0,0,0
325221,Cellulosic Organic Fiber Manufacturing,3402.75299,2811.273004,514.7196977,2296.553306,557.313784,489.0816897,4.73940224,37.68927982,0,25.80341219,34.16620193,24.83861148,0,2.106400995,5.641388708,0.526600249,1.053200498
325222,Noncellulosic Organic Fiber Manufacturing,1113.928123,739.5553863,493.0369242,246.5184621,369.7776932,184.8888466,0,184.8888466,0,0,0,0,0,0,0,0,0
325311,Nitrogenous Fertilizer Manufacturing,41671.94973,13336.43919,8165.110715,5171.328475,28033.57524,26400.54907,0.000503552,816.5140928,0,816.5118268,272.1708607,272.1706089,0,0,0,0,0
325312,Phosphatic Fertilizer Manufacturing,4362.503092,456.8893883,304.5929255,152.2964628,3655.115107,3655.115107,0,0,0,0,230.3851973,0,0,0,230.3851973,0,0
325320,Pesticide and Other Agricultural Chemical Manufacturing,1966.94256,1188.259538,327.7916746,860.4678634,746.1690589,623.057792,8.765709672,66.62113788,0,47.72441933,32.51396284,24.52219425,0,3.895870966,1.173994405,0.973967741,1.947935483
325411,Medicinal and Botanical Manufacturing,1342.090322,1023.954266,616.4376726,407.516593,97.02622669,77.61953115,0.000671388,0.001074221,0,19.40494993,211.9504054,192.5449184,0.000402833,19.4050842,0,0,0
325412,Pharmaceutical Preparation Manufacturing,6887.509965,4494.823878,2363.935278,2130.8886,798.843853,532.4914111,0.03767166,0.0627861,0,266.2519842,876.8965168,876.8337307,0.02511444,0.01255722,0,0,0
325414,Biological Product (except Diagnostic) Manufacturing,1759.942986,1351.591254,604.6592451,746.9320086,177.8409544,142.2727635,0,0,0,35.56819089,213.4091453,177.8409544,0,35.56819089,0,0,0
325510,Paint and Coating Manufacturing,3.838757845,2.154448925,0.65129487,1.503154055,1.617454148,1.345721851,0.01940945,0.146649176,0,0.105673671,0.066854771,0.051758533,0,0.008626422,0,0.002156606,0.004313211
325611,Soap and Other Detergent Manufacturing,1313.46808,972.3177235,206.6751202,765.6426033,326.2009496,278.3214375,3.419965147,25.83973666,0,18.61981024,14.94940718,12.28943429,0,1.51998451,0,0.379996127,0.759992255
325612,Polish and Other Sanitation Good Manufacturing,231.8511463,145.8911141,25.93017566,119.9609385,81.74616122,63.35052348,1.425178551,10.92234517,1.02264463,4.994942681,4.213870972,2.859236054,0.274740348,0.494346587,0.191893013,0.100691618,0.216646588
325613,Surface Active Agent Manufacturing,828.366836,474.9381888,131.9699585,342.9682304,338.9704347,279.0610399,4.349900524,32.96397426,0.649776854,21.92634684,14.45821237,11.00168141,0.174566916,1.84492809,0.038792648,0.44668478,0.903067721
325920,Explosives Manufacturing,1421.552367,1299.033031,206.4266046,1092.606426,112.2224833,107.6269726,0.269620996,2.857953175,0,1.467936532,10.16902433,7.496868823,0,0.119831554,2.462450292,0.029957888,0.059915777
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",374.1844112,301.5339684,180.9203811,120.6135874,60.30679369,60.30679369,0,0,0,0,0,0,0,0,0,0,0
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,4428.200026,3171.124896,702.7571259,2468.36777,1200.620015,1018.049373,13.01638771,98.9300564,0.145103958,70.47476187,56.45511482,43.80659034,0.038983153,5.765328992,2.516966995,1.438083652,2.878333035
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,2050.033382,1111.466967,318.1510018,793.3159652,578.7826224,531.8543017,15.64277358,15.64277358,0,15.64277358,359.7837923,328.4982452,0,15.64277358,0,0,15.64277358
326121,Unlaminated Plastics Profile Shape Manufacturing,462.1020001,267.1642494,64.76942581,202.3948236,119.8234377,110.1080239,3.23847129,3.23847129,0,3.23847129,74.48483968,68.0078971,0,3.23847129,0,0,3.23847129
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",157.1001826,60.07169544,27.30531611,32.76637933,50.5148348,46.41903739,1.365265805,1.365265805,0,1.365265805,31.40111353,28.67058191,0,1.365265805,0,0,1.365265805
326140,Polystyrene Foam Product Manufacturing,530.7069462,224.6519393,102.1241361,122.5278032,188.7339209,173.4311706,5.100916782,5.100916782,0,5.100916782,117.321086,107.1192524,0,5.100916782,0,0,5.100916782
326211,Tire Manufacturing (except Retreading),4368.165299,1859.001195,846.1467507,1012.854444,1542.046165,1417.015395,41.67692337,41.67692337,0,41.67692337,958.5692376,875.2153908,0,41.67692337,0,0,41.67692337
326291,Rubber Product Manufacturing for Mechanical Use,85.81363652,36.3057693,16.50262241,19.80314689,30.52985146,28.05445809,0.82513112,0.82513112,0,0.82513112,18.97801577,17.32775353,0,0.82513112,0,0,0.82513112
327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,156.709142,5.891321129,1.767396339,4.12392479,140.802575,138.4460465,0.589132113,1.178264226,0,0.589132113,10.01524592,9.426113806,0,0.589132113,0,0,0
327121,Brick and Structural Clay Tile Manufacturing,1027.072459,0,0,0,964.2169862,964.2169862,0,0,0,0,0,0,0,0,0,0,0
327122,Ceramic Wall and Floor Tile Manufacturing,1693.278088,63.59353897,19.07806169,44.51547728,1519.885581,1494.448166,6.359353897,12.71870779,0,6.359353897,108.1090163,101.7496624,0,6.359353897,0,0,0
327125,Nonclay Refractory Manufacturing,859.5776474,8.754805655,2.626441696,6.128363958,830.1361989,820.1859731,0.875480565,8.199264679,0,0.875480565,20.68664281,14.00768905,0,0.875480565,5.803473193,0,0
327211,Flat Glass Manufacturing,12556.16564,0,0,0,12251.70992,12251.70992,0,0,0,0,298.8221931,298.8221931,0,0,0,0,0
327212,Other Pressed and Blown Glass and Glassware Manufacturing,4577.451812,175.956232,0,175.956232,4222.949568,4222.949568,0,0,0,0,175.956232,175.956232,0,0,0,0,0
